dataset	load_time	sim_id
Watdiv1000M	68350	Bla_N1_64_W1000_Def
Watdiv1000M	40100	ES_N1_64_W1000_Def
Watdiv1000M	691200	Gra_N1_64_W1000_Def
Watdiv1000M	8411	Vir_N1_64_W1000_Def
Watdiv1000M	69631	Bla_N1_64_W1000_Opt
Watdiv1000M	389280	Gra_N1_64_W1000_Opt
Watdiv1000M	9258	Vir_N1_64_W1000_Opt
Watdiv1000M	12825	Fus_N1_64_W1000_Def
Watdiv1000M	13771	LDF_N1_64_W1000_Def
Watdiv1000M	4564	LDF_N3_64_W1000_Def
Watdiv1000M	9258	Flu_N3_64_W1000_Def
