dataset	load_time	sim_id
Watdiv100M	5784	Bla_N1_32_W100_Def
Watdiv100M	5498	ES_N1_32_W100_Def
Watdiv100M	33859	Gra_N1_32_W100_Def
Watdiv100M	1290	Vir_N1_32_W100_Def
