dataset	load_time	sim_id
Watdiv1000M	181362	Bla_N1_32_W1000_Def
Watdiv1000M	58912	ES_N1_32_W1000_Def
Watdiv1000M	842400	Gra_N1_32_W1000_Def
Watdiv1000M	13940	Vir_N1_32_W1000_Def
Watdiv1000M	56915	ES_N3_32_W1000_Def
Watdiv1000M	54250	Vir_N3_32_W1000_Def
