run2000_time	tot_cost_per_hour	load_time	load_cost	run2000_cost
699980.1902275814	1.665	98392.0	45.506299999999996	323.74083798025646
1417421.3191872642	2.065	67803.0	38.89255416666667	813.0486178115834
55399.20372726503	0.726	40472.0	8.161853333333333	11.172172751665114
50303.71684701349	1.46	15060.0	6.107666666666666	20.400951832399915
75163.49248062755	4.38	16513.0	20.09081666666667	91.44891585143017
