sim_id	query_name	number_of_results
Vir_N3_64_Ont_Opt_1	queries/xzaji	1
Vir_N3_64_Ont_Opt_1	queries/xzajn	1
Vir_N3_64_Ont_Opt_1	queries/xzajq	1
Vir_N3_64_Ont_Opt_1	queries/xzajs	1
Vir_N3_64_Ont_Opt_1	queries/xzajt	0
Vir_N3_64_Ont_Opt_1	queries/xzajz	1
Vir_N3_64_Ont_Opt_1	queries/xzakb	1
Vir_N3_64_Ont_Opt_1	queries/xzakd	1
Vir_N3_64_Ont_Opt_1	queries/xzaki	1
Vir_N3_64_Ont_Opt_1	queries/xzakt	1
Vir_N3_64_Ont_Opt_1	queries/xzakv	1
Vir_N3_64_Ont_Opt_1	queries/xzakz	0
Vir_N3_64_Ont_Opt_1	queries/xzald	1
Vir_N3_64_Ont_Opt_1	queries/xzalx	1
Vir_N3_64_Ont_Opt_1	queries/xzamg	1
Vir_N3_64_Ont_Opt_1	queries/xzamh	1
Vir_N3_64_Ont_Opt_1	queries/xzami	1
Vir_N3_64_Ont_Opt_1	queries/xzamx	0
Vir_N3_64_Ont_Opt_1	queries/xzanc	1
Vir_N3_64_Ont_Opt_1	queries/xzank	1
Vir_N3_64_Ont_Opt_1	queries/xzanr	3
Vir_N3_64_Ont_Opt_1	queries/xzant	1
Vir_N3_64_Ont_Opt_1	queries/xzanw	0
Vir_N3_64_Ont_Opt_1	queries/xzanx	0
Vir_N3_64_Ont_Opt_1	queries/xzaoa	1
Vir_N3_64_Ont_Opt_1	queries/xzaom	4
Vir_N3_64_Ont_Opt_1	queries/xzaos	1
Vir_N3_64_Ont_Opt_1	queries/xzaoy	1
Vir_N3_64_Ont_Opt_1	queries/xzapm	1
Vir_N3_64_Ont_Opt_1	queries/xzaps	3
Vir_N3_64_Ont_Opt_1	queries/xzapy	0
Vir_N3_64_Ont_Opt_1	queries/xzaqb	1
Vir_N3_64_Ont_Opt_1	queries/xzaqj	1
Vir_N3_64_Ont_Opt_1	queries/xzaqk	0
Vir_N3_64_Ont_Opt_1	queries/xzaqz	1
Vir_N3_64_Ont_Opt_1	queries/xzare	1
Vir_N3_64_Ont_Opt_1	queries/xzari	1
Vir_N3_64_Ont_Opt_1	queries/xzark	1
Vir_N3_64_Ont_Opt_1	queries/xzarl	0
Vir_N3_64_Ont_Opt_1	queries/xzarx	2
Vir_N3_64_Ont_Opt_1	queries/xzary	1
Vir_N3_64_Ont_Opt_1	queries/xzarz	1
Vir_N3_64_Ont_Opt_1	queries/xzasg	1
Vir_N3_64_Ont_Opt_1	queries/xzask	0
Vir_N3_64_Ont_Opt_1	queries/xzasm	1
Vir_N3_64_Ont_Opt_1	queries/xzasu	1
Vir_N3_64_Ont_Opt_1	queries/xzate	4
Vir_N3_64_Ont_Opt_1	queries/xzatk	0
Vir_N3_64_Ont_Opt_1	queries/xzatm	1
Vir_N3_64_Ont_Opt_1	queries/xzatn	1
Vir_N3_64_Ont_Opt_1	queries/xzatq	1
Vir_N3_64_Ont_Opt_1	queries/xzatz	0
Vir_N3_64_Ont_Opt_1	queries/xzaun	1
Vir_N3_64_Ont_Opt_1	queries/xzavh	1
Vir_N3_64_Ont_Opt_1	queries/xzavo	1
