sim_id	query_name	number_of_results
ES_N1_64_Ont_Def	queries/xgt	0
ES_N1_64_Ont_Def	queries/xgu	5
ES_N1_64_Ont_Def	queries/xgv	1
ES_N1_64_Ont_Def	queries/xgw	6
ES_N1_64_Ont_Def	queries/xgx	1
ES_N1_64_Ont_Def	queries/xgy	4
ES_N1_64_Ont_Def	queries/xgz	1
ES_N1_64_Ont_Def	queries/xha	0
ES_N1_64_Ont_Def	queries/xhb	1
ES_N1_64_Ont_Def	queries/xhc	1
ES_N1_64_Ont_Def	queries/xhd	1
ES_N1_64_Ont_Def	queries/xhe	1
ES_N1_64_Ont_Def	queries/xhf	0
ES_N1_64_Ont_Def	queries/xhg	1
ES_N1_64_Ont_Def	queries/xhh	4
ES_N1_64_Ont_Def	queries/xhj	1
ES_N1_64_Ont_Def	queries/xhk	1
ES_N1_64_Ont_Def	queries/xhl	1
ES_N1_64_Ont_Def	queries/xhm	1
ES_N1_64_Ont_Def	queries/xhn	1
ES_N1_64_Ont_Def	queries/xhp	1
ES_N1_64_Ont_Def	queries/xhq	1
ES_N1_64_Ont_Def	queries/xhs	1
ES_N1_64_Ont_Def	queries/xhv	1
ES_N1_64_Ont_Def	queries/xhy	1
ES_N1_64_Ont_Def	queries/xia	1
ES_N1_64_Ont_Def	queries/xib	1
ES_N1_64_Ont_Def	queries/xic	1
ES_N1_64_Ont_Def	queries/xid	1
ES_N1_64_Ont_Def	queries/xig	0
ES_N1_64_Ont_Def	queries/xii	1
ES_N1_64_Ont_Def	queries/xij	1
ES_N1_64_Ont_Def	queries/xik	0
ES_N1_64_Ont_Def	queries/xil	0
ES_N1_64_Ont_Def	queries/xim	1
ES_N1_64_Ont_Def	queries/xin	0
ES_N1_64_Ont_Def	queries/xio	1
ES_N1_64_Ont_Def	queries/xip	1
ES_N1_64_Ont_Def	queries/xis	2
ES_N1_64_Ont_Def	queries/xit	1
ES_N1_64_Ont_Def	queries/xiu	1
ES_N1_64_Ont_Def	queries/xiv	1
ES_N1_64_Ont_Def	queries/xiw	1
ES_N1_64_Ont_Def	queries/xix	1
ES_N1_64_Ont_Def	queries/xiy	0
ES_N1_64_Ont_Def	queries/xiz	1
ES_N1_64_Ont_Def	queries/xjb	1
