sim_id	query_name	number_of_results
Vir_N1_32_Ont_Opt	queries/xex	1
Vir_N1_32_Ont_Opt	queries/xey	1
Vir_N1_32_Ont_Opt	queries/xez	0
Vir_N1_32_Ont_Opt	queries/xfa	0
Vir_N1_32_Ont_Opt	queries/xfb	1
Vir_N1_32_Ont_Opt	queries/xfc	0
Vir_N1_32_Ont_Opt	queries/xfd	1
Vir_N1_32_Ont_Opt	queries/xfe	0
Vir_N1_32_Ont_Opt	queries/xff	0
Vir_N1_32_Ont_Opt	queries/xfg	1
Vir_N1_32_Ont_Opt	queries/xfh	0
Vir_N1_32_Ont_Opt	queries/xfi	0
Vir_N1_32_Ont_Opt	queries/xfj	0
Vir_N1_32_Ont_Opt	queries/xfk	1
Vir_N1_32_Ont_Opt	queries/xfl	0
Vir_N1_32_Ont_Opt	queries/xfm	1
Vir_N1_32_Ont_Opt	queries/xfn	1
Vir_N1_32_Ont_Opt	queries/xfo	1
Vir_N1_32_Ont_Opt	queries/xfp	0
Vir_N1_32_Ont_Opt	queries/xfq	0
Vir_N1_32_Ont_Opt	queries/xfr	1
Vir_N1_32_Ont_Opt	queries/xfs	1
Vir_N1_32_Ont_Opt	queries/xft	0
Vir_N1_32_Ont_Opt	queries/xfu	0
Vir_N1_32_Ont_Opt	queries/xfv	1
Vir_N1_32_Ont_Opt	queries/xfw	1
Vir_N1_32_Ont_Opt	queries/xfx	0
Vir_N1_32_Ont_Opt	queries/xfy	1
Vir_N1_32_Ont_Opt	queries/xfz	0
Vir_N1_32_Ont_Opt	queries/xga	0
Vir_N1_32_Ont_Opt	queries/xgb	0
Vir_N1_32_Ont_Opt	queries/xgc	1
Vir_N1_32_Ont_Opt	queries/xgd	0
Vir_N1_32_Ont_Opt	queries/xge	0
Vir_N1_32_Ont_Opt	queries/xgf	0
Vir_N1_32_Ont_Opt	queries/xgg	0
Vir_N1_32_Ont_Opt	queries/xgh	0
Vir_N1_32_Ont_Opt	queries/xgi	0
Vir_N1_32_Ont_Opt	queries/xgj	1
Vir_N1_32_Ont_Opt	queries/xgk	0
Vir_N1_32_Ont_Opt	queries/xgl	0
Vir_N1_32_Ont_Opt	queries/xgm	0
Vir_N1_32_Ont_Opt	queries/xgn	1
Vir_N1_32_Ont_Opt	queries/xgo	1
Vir_N1_32_Ont_Opt	queries/xgp	1
Vir_N1_32_Ont_Opt	queries/xgq	0
Vir_N1_32_Ont_Opt	queries/xgr	1
Vir_N1_32_Ont_Opt	queries/xgs	0
Vir_N1_32_Ont_Opt	queries/xgt	0
Vir_N1_32_Ont_Opt	queries/xgu	0
Vir_N1_32_Ont_Opt	queries/xgv	0
Vir_N1_32_Ont_Opt	queries/xgw	0
Vir_N1_32_Ont_Opt	queries/xgx	0
Vir_N1_32_Ont_Opt	queries/xgy	0
Vir_N1_32_Ont_Opt	queries/xgz	0
Vir_N1_32_Ont_Opt	queries/xha	0
Vir_N1_32_Ont_Opt	queries/xhb	0
Vir_N1_32_Ont_Opt	queries/xhc	0
Vir_N1_32_Ont_Opt	queries/xhd	0
Vir_N1_32_Ont_Opt	queries/xhe	0
Vir_N1_32_Ont_Opt	queries/xhf	0
Vir_N1_32_Ont_Opt	queries/xhg	0
Vir_N1_32_Ont_Opt	queries/xhh	0
Vir_N1_32_Ont_Opt	queries/xhi	1
Vir_N1_32_Ont_Opt	queries/xhj	0
Vir_N1_32_Ont_Opt	queries/xhk	1
Vir_N1_32_Ont_Opt	queries/xhl	0
Vir_N1_32_Ont_Opt	queries/xhm	0
