query_name	thread_type	success	errors	timeouts	median_runtime
S6/S6_split31.sparql	warmup	2	1.0	0.0	0.3780318100000001
C1/C1_split0.sparql	stress	10	0.0	0.0	0.13698783800000003
C1/C1_split0.sparql	warmup	3	0.0	0.0	0.06922734300000001
C1/C1_split1.sparql	stress	10	0.0	0.0	0.1085689845
C1/C1_split1.sparql	warmup	3	0.0	0.0	0.069979601
C1/C1_split10.sparql	stress	10	0.0	0.0	0.15045598
C1/C1_split10.sparql	warmup	3	0.0	0.0	0.06816493400000001
C1/C1_split11.sparql	stress	10	0.0	0.0	0.11800141950000001
C1/C1_split11.sparql	warmup	3	0.0	0.0	0.06817910299999999
C1/C1_split12.sparql	stress	10	0.0	0.0	0.1091679575
C1/C1_split12.sparql	warmup	3	0.0	0.0	0.06824269200000001
C1/C1_split13.sparql	stress	10	0.0	0.0	0.1514410565
C1/C1_split13.sparql	warmup	3	0.0	0.0	0.06852124600000001
C1/C1_split14.sparql	stress	10	0.0	0.0	0.118742238
C1/C1_split14.sparql	warmup	3	0.0	0.0	0.085649542
C1/C1_split15.sparql	stress	10	0.0	0.0	0.14553367
C1/C1_split15.sparql	warmup	3	0.0	0.0	0.06920627500000001
C1/C1_split16.sparql	stress	10	0.0	0.0	0.11335705700000001
C1/C1_split16.sparql	warmup	3	0.0	0.0	0.07026872599999999
C1/C1_split17.sparql	stress	10	0.0	0.0	0.1146207095
C1/C1_split17.sparql	warmup	3	0.0	0.0	0.06845622900000001
C1/C1_split18.sparql	stress	10	0.0	0.0	0.11979628749999999
C1/C1_split18.sparql	warmup	3	0.0	0.0	0.086615464
C1/C1_split19.sparql	stress	10	0.0	0.0	0.14396306749999999
C1/C1_split19.sparql	warmup	3	0.0	0.0	0.0683941
C1/C1_split2.sparql	stress	10	0.0	0.0	0.12085224049999999
C1/C1_split2.sparql	warmup	3	0.0	0.0	0.068600808
C1/C1_split20.sparql	stress	10	0.0	0.0	0.113850852
C1/C1_split20.sparql	warmup	3	0.0	0.0	0.06825355500000001
C1/C1_split21.sparql	stress	10	0.0	0.0	0.1164253145
C1/C1_split21.sparql	warmup	3	0.0	0.0	0.07028551599999999
C1/C1_split22.sparql	stress	10	0.0	0.0	0.13195938699999998
C1/C1_split22.sparql	warmup	3	0.0	0.0	0.068121507
C1/C1_split23.sparql	stress	10	0.0	0.0	0.113400107
C1/C1_split23.sparql	warmup	3	0.0	0.0	0.069328267
C1/C1_split24.sparql	stress	10	0.0	0.0	0.116540103
C1/C1_split24.sparql	warmup	3	0.0	0.0	0.068859541
C1/C1_split25.sparql	stress	10	0.0	0.0	0.13090820150000002
C1/C1_split25.sparql	warmup	3	0.0	0.0	0.069541539
C1/C1_split26.sparql	stress	10	0.0	0.0	0.112053807
C1/C1_split26.sparql	warmup	3	0.0	0.0	0.068418109
C1/C1_split27.sparql	stress	10	0.0	0.0	0.138299878
C1/C1_split27.sparql	warmup	3	0.0	0.0	0.068608403
C1/C1_split28.sparql	stress	10	0.0	0.0	0.1223083715
C1/C1_split28.sparql	warmup	3	0.0	0.0	0.068355069
C1/C1_split29.sparql	stress	10	0.0	0.0	0.145227063
C1/C1_split29.sparql	warmup	3	0.0	0.0	0.06986191800000001
C1/C1_split3.sparql	stress	10	0.0	0.0	0.15974710050000002
C1/C1_split3.sparql	warmup	3	0.0	0.0	0.06840291600000001
C1/C1_split30.sparql	stress	10	0.0	0.0	0.115413844
C1/C1_split30.sparql	warmup	3	0.0	0.0	0.068756235
C1/C1_split31.sparql	stress	10	0.0	0.0	0.1113916725
C1/C1_split31.sparql	warmup	3	0.0	0.0	0.07080497499999999
C1/C1_split32.sparql	stress	10	0.0	0.0	0.1195547085
C1/C1_split32.sparql	warmup	3	0.0	0.0	0.06896403599999999
C1/C1_split33.sparql	stress	10	0.0	0.0	0.132879329
C1/C1_split33.sparql	warmup	3	0.0	0.0	0.070427298
