sim_id	query_name	thread_id	thread_type	order_id	number_of_results	runtime	flag
Flu_N3_64_W100_Def	S5/S5_split9.sparql	1	warmup	55	-1	300	TIMEOUT
Flu_N3_64_W100_Def	L2/L2_split7.sparql	1	warmup	56	-1	300	TIMEOUT
Flu_N3_64_W100_Def	S6/S6_split17.sparql	1	warmup	57	-1	300	TIMEOUT
Flu_N3_64_W100_Def	S3/S3_split14.sparql	1	warmup	58	-1	300	TIMEOUT
Flu_N3_64_W100_Def	S2/S2_split10.sparql	1	warmup	59	-1	300	TIMEOUT
Flu_N3_64_W100_Def	F3/F3_split8.sparql	1	warmup	60	-1	300	TIMEOUT
Flu_N3_64_W100_Def	S6/S6_split2.sparql	1	warmup	61	-1	300	TIMEOUT
Flu_N3_64_W100_Def	L3/L3_split7.sparql	1	warmup	62	-1	300	TIMEOUT
Flu_N3_64_W100_Def	L1/L1_split10.sparql	1	warmup	63	-1	300	TIMEOUT
Flu_N3_64_W100_Def	F3/F3_split15.sparql	1	warmup	64	-1	300	TIMEOUT
Flu_N3_64_W100_Def	F3/F3_split9.sparql	1	warmup	65	-1	300	TIMEOUT
Flu_N3_64_W100_Def	F2/F2_split19.sparql	1	warmup	66	-1	300	TIMEOUT
Flu_N3_64_W100_Def	F1/F1_split1.sparql	1	warmup	67	-1	300	TIMEOUT
Flu_N3_64_W100_Def	F4/F4_split18.sparql	1	warmup	68	-1	300	TIMEOUT
Flu_N3_64_W100_Def	L1/L1_split5.sparql	1	warmup	69	-1	300	TIMEOUT
Flu_N3_64_W100_Def	S5/S5_split13.sparql	1	warmup	70	-1	300	TIMEOUT
Flu_N3_64_W100_Def	S6/S6_split0.sparql	1	warmup	71	-1	300	TIMEOUT
Flu_N3_64_W100_Def	C1/C1_split17.sparql	1	warmup	72	-1	300	TIMEOUT
Flu_N3_64_W100_Def	S2/S2_split13.sparql	1	warmup	73	-1	300	TIMEOUT
Flu_N3_64_W100_Def	C2/C2_split10.sparql	1	warmup	74	-1	300	TIMEOUT
Flu_N3_64_W100_Def	C3/C3_split13.sparql	1	warmup	75	-1	300	TIMEOUT
Flu_N3_64_W100_Def	L2/L2_split3.sparql	1	warmup	76	-1	300	TIMEOUT
Flu_N3_64_W100_Def	F5/F5_split16.sparql	1	warmup	77	-1	300	TIMEOUT
Flu_N3_64_W100_Def	C2/C2_split12.sparql	1	warmup	78	-1	300	TIMEOUT
Flu_N3_64_W100_Def	S2/S2_split17.sparql	1	warmup	79	-1	300	TIMEOUT
Flu_N3_64_W100_Def	S3/S3_split16.sparql	1	warmup	80	-1	300	TIMEOUT
Flu_N3_64_W100_Def	L5/L5_split12.sparql	1	warmup	81	-1	300	TIMEOUT
Flu_N3_64_W100_Def	S1/S1_split14.sparql	1	warmup	82	-1	300	TIMEOUT
Flu_N3_64_W100_Def	S7/S7_split0.sparql	1	warmup	83	-1	300	TIMEOUT
Flu_N3_64_W100_Def	F4/F4_split10.sparql	1	warmup	84	-1	300	TIMEOUT
